incident_id,incident_title,incident_description,support_team
INC-0001,"Claims stuck in pending after nightly adjudication","Multiple professional claims submitted yesterday are still sitting in pending review after the nightly adjudication cycle. Support confirmed member eligibility is active and provider records look valid. The claim history screen shows edit package applied but no final disposition was generated.","Claims Engineering"
INC-0002,"Incorrect denial reason showing for outpatient claims","Customer support reports several outpatient claims are denying with reason code D421 even though the billed procedure is covered under the plan. The same providers had successful claims last week. Need review of claims rules or edit logic.","Claims Engineering"
INC-0003,"Claim status API says paid but internal screen says denied","The external claim status response is showing paid for claim searches while the internal claims workstation shows denied. Issue appears limited to claims finalized this morning. Business users are asking which status is correct before calling providers back.","Claims Engineering"
INC-0004,"COB logic not applying to secondary claims","Secondary claims with coordination of benefits are pricing as primary. The intake payload includes other payer info, but the adjudication notes do not show COB calculation. Started after the weekend rule update.","Claims Engineering"
INC-0005,"Urgent: dental claims rejecting for missing subscriber","Dental claims from two trading partners are rejecting with missing subscriber even though the member ID exists in membership. Rejects started around 03:15 ET. No enrollment batch failure reported so far.","Claims Engineering"
INC-0006,"Manual claim adjustment fails with generic error","Adjusters cannot save manual adjustments on high-dollar institutional claims. UI returns generic service error after clicking finalize. Browser console points to claim-adjustment-service 422 response.","Claims Engineering"
INC-0007,"Duplicate claim warning not firing","Operations noticed duplicate claim warning is not displayed when the same provider submits identical service lines within 24 hours. Several duplicates passed through to review queues today.","Claims Engineering"
INC-0008,"New members missing coverage in portal","Members enrolled through the employer file last night can log in but their coverage page says no active plan. Enrollment team sees active eligibility in the membership admin tool. Portal cache refresh did not help.","Membership Engineering"
INC-0009,"Eligibility dates shifted by one day","Eligibility inquiry shows coverage ending one day earlier than the source enrollment record for a small group plan. This is causing call center confusion for members with appointments today.","Membership Engineering"
INC-0010,"Member demo update not saving","CSR team cant update phone number or mailing address on member profile. Save button returns success, but the old values come back after refresh. No error visible to user.","Membership Engineering"
INC-0011,"Dependent not linked under subscriber","A dependent added through the morning enrollment feed is visible as a separate member but not linked to the subscriber household. Claims team needs household relationship fixed before processing.","Membership Engineering"
INC-0012,"Eligibility sync delayed for new group","New employer group eligibility file processed but members are not available downstream after four hours. Batch dashboard shows completed, yet membership search does not return the records.","Membership Engineering"
INC-0013,"Member merge created wrong primary record","After duplicate member merge, the inactive member became the primary record and active coverage moved under the wrong profile. Need membership data correction and merge logic review.","Membership Engineering"
INC-0014,"Coverage termination not reflected","Terminated members from yesterday's file are still showing active in the servicing screen. Source feed has termination reason and end date. Business is concerned about claims paying incorrectly.","Membership Engineering"
INC-0015,"Provider directory search missing cardiology group","Provider directory search no longer returns Northlake Cardiology for commercial plans. Provider admin shows the group active and accepting patients. Issue appears in production only.","Provider Systems"
INC-0016,"Provider portal cannot load authorization tab","Providers can log into the portal, but the authorization tab spins and eventually displays unable to retrieve provider profile. Other tabs load normally. Started after provider profile service restart.","Provider Systems"
INC-0017,"Credentialing status not updating","Credentialing team approved several providers this morning, but status still shows pending in provider maintenance. Downstream directory updates are blocked until status changes.","Provider Systems"
INC-0018,"Incorrect provider specialty on member search","Member portal is displaying family practice for providers who should show endocrinology. Provider source table has the correct specialty. Issue seems isolated to consumer search index.","Provider Systems"
INC-0019,"Provider tax ID lookup failing","Claims ops cannot find providers by tax ID in the provider lookup screen. NPI search still works. Error message says provider key not found even for active contracted records.","Provider Systems"
INC-0020,"Provider roster upload stuck validating","A large provider roster upload has been in validating status for 90 minutes. No failure email was generated. Upload contains 2,400 records and blocks network update deadline.","Provider Systems"
INC-0021,"Network indicator wrong for urgent care locations","Urgent care locations are showing out of network for two products, but provider contracting confirms they are in network. This is impacting appointment scheduling calls.","Provider Systems"
INC-0022,"Mobile app crashes on claims detail page","Members on iOS 18 report the mobile app closes when opening claim detail. Login and coverage pages work. Crash began after the latest mobile release yesterday evening.","Digital Experience"
INC-0023,"Portal spinner after clicking pay bill","Users can reach the billing page, but clicking pay bill leaves a spinner forever. Payment svc health looks green according to status page. Repro in Chrome and Edge.","Digital Experience"
INC-0024,"Benefits page layout broken on Safari","Benefits summary cards overlap on Safari for employer group members. Data appears to load but page is unreadable. Call center is sending screenshots from multiple users.","Digital Experience"
INC-0025,"Search button not responding in member portal","Member portal search button does nothing after entering provider name. No visible error. Browser console shows a front-end script error in providerSearch.bundle.js.","Digital Experience"
INC-0026,"Forgot password page shows blank screen","Forgot password link opens a blank page for some members. Network trace shows static assets loading, but the reset form component does not render.","Digital Experience"
INC-0027,"Spanish portal content showing English labels","Spanish language preference is selected, but several member portal labels changed back to English after release 6.14. Issue affects coverage, claims, and profile sections.","Digital Experience"
INC-0028,"Member portal slow after home page load","Home page loads in two seconds, but navigating to any secondary page takes 20-30 seconds. Users report page eventually appears with no error. Looks like client-side routing issue.","Digital Experience"
INC-0029,"Premium invoice totals do not match ledger","Billing operations reports premium invoice totals are off by a few cents for several employer groups. Ledger values are correct, but invoice PDF and billing portal show different totals.","Billing Systems"
INC-0030,"Payment posted twice for same member","A member payment made through autopay was posted twice to the billing account. Payment gateway shows one authorization. Billing account ledger has two payment rows with same reference.","Billing Systems"
INC-0031,"Invoice generation failed for small groups","Small group invoices for next month did not generate overnight. Batch job completed but billing dashboard shows 0 invoices created for SG segment. Large group invoices look normal.","Billing Systems"
INC-0032,"Grace period notice sent incorrectly","Members who paid before due date received grace period notices this morning. Billing account shows paid current. Need review of notice eligibility logic before next mail batch.","Billing Systems"
INC-0033,"Refund queue not picking approved credits","Approved member credits are not moving into the refund queue. Credits exist in billing account adjustment screen. Finance needs refunds included in today's outbound file.","Billing Systems"
INC-0034,"Autopay enrollment fails with valid bank info","Members attempting to enroll in autopay receive unable to save payment method. Bank validation succeeds, but billing enrollment service returns business validation failure.","Billing Systems"
INC-0035,"Employer bill PDF missing adjustment section","Generated employer bill PDFs no longer include adjustment details. Billing UI shows adjustments correctly. PDF output changed after last template deployment.","Billing Systems"
INC-0036,"Data lake missing claims partition","Analytics users report yesterday's claims partition is missing from the curated data lake. Ingestion monitor shows raw file landed, but silver tbl was not updated.","Data Engineering"
INC-0037,"Eligibility feed has duplicate rows downstream","Downstream eligibility table contains duplicate rows for members from the overnight enrollment feed. Source file has one row per member. Duplicate count is around 18k.","Data Engineering"
INC-0038,"ETL job completed but dashboard stale","Daily ETL marked success, but executive dashboard still shows prior day membership counts. Data warehouse table timestamp did not advance after transform step.","Data Engineering"
INC-0039,"Provider extract schema mismatch","Provider extract failed because field provider_network_code is missing in today's file. Vendor says no schema change was planned. Need data pipeline review and impact assessment.","Data Engineering"
INC-0040,"Late-arriving claim records not reprocessed","Claims received after cutoff are not included in the late-arriving reprocess job. Records are in landing zone but absent from curated claim fact table.","Data Engineering"
INC-0041,"Null values in risk score feed","Risk score feed loaded with null score values for a subset of members. Source file appears populated. Transformation mapping may have dropped decimal field.","Data Engineering"
INC-0042,"Data quality alert for member dimension","Automated data quality check flagged a sudden drop in active member count in the warehouse. Operational membership screen looks correct, so issue appears in analytics pipeline.","Data Engineering"
INC-0043,"Claims API timeout above normal","Claims status API latency jumped from 300 ms to over 8 seconds. Several consumers are getting gateway timeout. No code deploy reported for claims service today.","API Platform"
INC-0044,"Member elig endpoint returning 503","Eligibility endpoint intermittently returns 503 for valid member IDs. Retries usually succeed. API gateway logs show upstream connection reset errors.","API Platform"
INC-0045,"API rate limit blocking partner traffic","Partner integration is receiving 429 responses even though traffic volume is below contracted threshold. Rate limit dashboard shows the partner assigned to default tier.","API Platform"
INC-0046,"Provider search API missing pagination token","Provider search API response no longer includes nextPageToken. Consumer apps can only show first page of results. Issue began after API contract release.","API Platform"
INC-0047,"Auth header rejected by shared API gateway","Multiple services calling the benefits API are receiving invalid authorization header from the gateway. Token is valid when checked manually. Could be gateway policy regression.","API Platform"
INC-0048,"OpenAPI spec does not match production response","Client team reports the production claim summary response includes field claimLineInfo as object instead of documented array. Contract tests started failing this morning.","API Platform"
INC-0049,"Webhook retries not delivered","Event webhook delivery for claim updates is delayed. API platform shows events accepted but retries are not going out after downstream 500 responses.","API Platform"
INC-0050,"EDI 834 file not delivered to vendor","The outbound 834 eligibility file did not arrive at the vendor mailbox. Internal job says file generated. No file found on SFTP outbound folder for the vendor.","Integration Services"
INC-0051,"Msg queue backlog for auth events","Authorization event queue backlog is growing and downstream utilization service is not receiving updates. Queue depth increased from 200 to 45k in one hour.","Integration Services"
INC-0052,"Inbound lab results interface rejecting messages","Interface engine is rejecting inbound lab result messages with segment validation errors. Sending partner says format did not change. Rejects started after interface engine patch.","Integration Services"
INC-0053,"SFTP connection failing for payment file","Payment file transfer to bank fails with handshake error. Credentials were not changed according to finance. Certificate on remote endpoint may have rotated.","Integration Services"
INC-0054,"HL7 style enrollment messages stuck in retry","Enrollment messages from partner gateway are stuck in retry status. Error shows destination endpoint unavailable, but endpoint health check passes manually.","Integration Services"
INC-0055,"Duplicate events sent to downstream CRM","CRM received duplicate member update events for the same transaction IDs. Integration log shows message replay after consumer timeout. Need confirm idempotency behavior.","Integration Services"
INC-0056,"Outbound provider roster file has wrong delimiter","Provider roster file sent to external directory vendor used comma delimiter instead of pipe. Vendor rejected entire file. Previous daily files were pipe-delimited.","Integration Services"
INC-0057,"Production nodes unreachable in east region","Several application nodes in the east region are unreachable. Load balancer marked instances unhealthy. Multiple apps impacted, not limited to one service.","Infrastructure"
INC-0058,"Disk space alert on claims app servers","Claims application servers show /var/log at 98 percent usage. App is still running but logs are no longer rotating. Need infra cleanup before service impact.","Infrastructure"
INC-0059,"Load balancer returning intermittent 502","Users across multiple portals see intermittent 502 errors. App logs do not show matching exceptions. Load balancer target health keeps flapping.","Infrastructure"
INC-0060,"Cert expiring on prod ingress","Monitoring reports production ingress certificate expires in less than 24 hours. Several domains use this ingress. Need renewal before member portal outage.","Infrastructure"
INC-0061,"VPN tunnel down to clearinghouse","Network monitor shows VPN tunnel to clearinghouse is down. Claims files and eligibility responses are delayed. Restart attempt did not restore tunnel.","Infrastructure"
INC-0062,"Kubernetes pod evictions after node pressure","Multiple pods were evicted due to memory pressure on shared production cluster. Services restarted but latency remains high. Need cluster capacity review.","Infrastructure"
INC-0063,"Storage latency impacting document retrieval","Document retrieval service is slow across claims and provider apps. Storage metrics show elevated read latency on shared volume. No app-specific error found.","Infrastructure"
INC-0064,"Database deadlocks in claims workflow","Claims processors are seeing transaction failed errors when finalizing claims. Database logs show deadlocks on claim_header and claim_line tables during peak volume.","Database Engineering"
INC-0065,"Member database replication lag","Read replica for member database is lagging by 18 minutes. Portal reads stale eligibility after updates. Primary database appears healthy.","Database Engineering"
INC-0066,"Connection pool exhausted on provider DB","Provider service cannot obtain database connections during business hours. DB session count is near max and several idle sessions are holding resources.","Database Engineering"
INC-0067,"Slow query on billing account lookup","Billing account search takes over 45 seconds for employer groups. Query plan changed and index on group_id is not being used.","Database Engineering"
INC-0068,"Database backup did not complete","Nightly backup for reporting database failed with storage snapshot error. No successful backup exists for last night. Need database team review.","Database Engineering"
INC-0069,"ORA timeout during mbr update","Membership update transactions fail intermittently with DB timeout. App retry works sometimes. Database wait events show row lock contention.","Database Engineering"
INC-0070,"Reporting DB table locked by long session","Reporting refresh is blocked because a long-running session has locked the claims aggregate table. Analysts cannot access today's report data.","Database Engineering"
INC-0071,"SSO login loop for internal users","Internal users are redirected between SSO and the application until browser times out. Clearing cookies does not fix it. Started after identity provider metadata update.","Identity & Access"
INC-0072,"MFA prompts not sent to mobile app","Members with MFA enabled are not getting push prompts. Password auth succeeds, then login waits until timeout. SMS fallback works for some users.","Identity & Access"
INC-0073,"New hires missing production access role","New support engineers onboarded today do not have the incident triage role even though access request was approved. Role mapping in IAM may not have propagated.","Identity & Access"
INC-0074,"Authorization failure after role update","Provider users with billing admin role now get forbidden when accessing payment history. Role was updated yesterday to include new permission set.","Identity & Access"
INC-0075,"Service account token expired","Batch job cannot call member API because service account token expired. Rotation process says completed but application still uses old credential reference.","Identity & Access"
INC-0076,"LDAP group sync delayed","Access changes made in directory groups are not reflected in application permissions after two hours. Sync job status is unclear. Several managers cannot approve claims.","Identity & Access"
INC-0077,"Suspicious login attempts from blocked geography","Security monitoring detected repeated failed login attempts against member portal from a blocked geography. Attempts target many user names within a short window.","Security"
INC-0078,"Possible exposed API key in application logs","Production logs appear to contain an API key value after debug logging was enabled. Need security review and credential rotation guidance immediately.","Security"
INC-0079,"WAF blocking legitimate provider traffic","Web application firewall started blocking provider portal requests with SQL injection rule. Providers are using normal search fields. Need security policy review.","Security"
INC-0080,"Critical vulnerability reported for deployed library","Security scanner flagged critical vulnerability in a library used by the claims API container. Need confirm exposure and remediation timeline.","Security"
INC-0081,"Unexpected admin permission granted","Audit report shows a user received admin permission without approved access ticket. Need investigate entitlement change and potential policy violation.","Security"
INC-0082,"Phishing link reported in support message","Customer support received a message containing a suspicious link pretending to be the member portal. Need security team to review and advise response.","Security"
INC-0083,"Executive dashboard numbers do not match source","Executive dashboard shows 1.2M active members, but membership operations report 1.25M in source system. Refresh completed successfully. Need report logic review.","Reporting & Analytics"
INC-0084,"Claims aging report missing current week","Claims aging report does not include claims received this week. Underlying claim table has records. Report filter may be using wrong service date.","Reporting & Analytics"
INC-0085,"Provider perf dashboard blank","Provider performance dashboard opens but all visuals are blank. Dataset refresh succeeded according to BI tool. Other dashboards in same workspace work.","Reporting & Analytics"
INC-0086,"Finance extract totals differ from billing report","Monthly finance extract total differs from billing operations report by $84k. Billing ledger agrees with operations report. Need analytics calculation review.","Reporting & Analytics"
INC-0087,"Scheduled report email not sent","Daily enrollment summary report did not email to distribution list. Report can be run manually. Subscription history says delivery failed with unknown error.","Reporting & Analytics"
INC-0088,"Metric definition changed without notice","Call center dashboard average handle time changed after semantic model update. Business says formula should exclude after-call work but report now includes it.","Reporting & Analytics"
INC-0089,"Nightly claims batch abended at pricing step","Nightly claims batch stopped at pricing step with return code 12. No downstream claim extracts were created. Operations needs restart instructions before morning cutoff.","Batch Processing"
INC-0090,"Enrollment batch completed with warning count spike","Enrollment batch completed but warning count jumped from usual 200 to 9,800. Many warnings mention invalid coverage segment. Need batch review before downstream sync.","Batch Processing"
INC-0091,"Payment posting batch did not start","Scheduled payment posting batch did not start at 01:00. Scheduler shows missed trigger, no failure record. Finance needs payments posted before bank reconciliation.","Batch Processing"
INC-0092,"Provider directory rebuild running long","Provider directory nightly rebuild has been running for six hours and is blocking search index publication. Prior runs finished in 70 minutes.","Batch Processing"
INC-0093,"Monthly premium calculation batch used old rate table","Monthly premium calc completed but appears to use previous rate table. Rate table deployment occurred yesterday afternoon. Need batch parameter validation.","Batch Processing"
INC-0094,"Claims extract generated empty file","Daily claims extract job produced a zero-byte file even though claims finalized yesterday. Job log says success. Downstream vendor rejected the empty file.","Batch Processing"
INC-0095,"Deploy pipeline stuck waiting for approval","Prod deployment pipeline is stuck in waiting for approval even though CAB approval was completed. Release mgr cannot promote the hotfix.","DevOps"
INC-0096,"Rollback failed for provider service","Attempted rollback of provider service failed because previous artifact cannot be pulled from registry. Current release is causing provider portal errors.","DevOps"
INC-0097,"Config map not updated after release","New API timeout config was merged and deployed, but pods still show the old timeout value. Pipeline logs say config applied successfully.","DevOps"
INC-0098,"Build artifact checksum mismatch","CI pipeline failed because generated artifact checksum does not match metadata. No code changes in dependency module. Need DevOps review before release window.","DevOps"
INC-0099,"Production secret rotation did not reach pods","Secret rotation completed in vault, but running pods still use prior database password. Restart job did not trigger. App will fail when old password is disabled.","DevOps"
INC-0100,"Blue green deployment routing all traffic to old version","Blue green switch completed, but monitoring shows all traffic still hitting old version. New version is healthy but not receiving requests.","DevOps"
